,ADDRESS,STOPS,WEIGHT
24278,BLOCK 2222,3,0.005825242718446602
23041,9100 BLOCK NORTH IH 35 SERVICE ROAD,3,0.005825242718446602
2333,11100 N LAMAR BLVD,3,0.005825242718446602
1877,1100 BLOCK EAST OLTORF STREET,3,0.005825242718446602
2713,11500 N MOPAC NB,3,0.005825242718446602
23088,9100 RESEARCH BLVD SVRD NB,3,0.005825242718446602
18238,6600 BLOCK SOUTH PLEASANT VALLEY ROAD,3,0.005825242718446602
14268,4700 BLOCK MANCHACA ROAD,3,0.005825242718446602
10355,2700 W PARMER LN,3,0.005825242718446602
61,10 N IH 35 SB,3,0.005825242718446602
10491,2800 N MOPAC,3,0.005825242718446602
4087,12500 N IH 35 SB,3,0.005825242718446602
1499,10500 SOUTH I-35,3,0.005825242718446602
18294,6600 N MOPAC,3,0.005825242718446602
25953,E 2ND ST,3,0.005825242718446602
28433,WEST 7TH STREET AT,3,0.005825242718446602
81,100  BLOCK WEST STASSNEY LANE,3,0.005825242718446602
4078,12500 LAMPLIGHT VILLAGE,3,0.005825242718446602
1295,10300 BLOCK ANDERSON MILL ROAD,3,0.005825242718446602
13468,4200 E WILLIAM CANNON DR,3,0.005825242718446602
10488,2800 N LAMAR,3,0.005825242718446602
4073,12500 HARRIS BRANCH PKWY,3,0.005825242718446602
16130,5500 N MOPAC SB,3,0.005825242718446602
16129,5500 N MOPAC NB,3,0.005825242718446602
22702,900 E WM CANNON,3,0.005825242718446602
3471,12000 BLOCK METRIC BLVD,3,0.005825242718446602
13980,4500 S 1ST,3,0.005825242718446602
10492,2800 N MOPAC EXPY,3,0.005825242718446602
23578,9500 N IH 35 NB,3,0.005825242718446602
10877,300 E RUNDBERG,3,0.005825242718446602
23970,9900 LAKE CREEK PKWY,3,0.005825242718446602
16333,5600 RIVERSIDE,3,0.005825242718446602
2708,11500 N MOPAC BLVD,3,0.005825242718446602
22696,900 E RUNDBERG LN,3,0.005825242718446602
10494,2800 N MOPAC NB,3,0.005825242718446602
10161,2600 NUECES ST,3,0.005825242718446602
4105,12500 N RESEARCH BLVD,3,0.005825242718446602
23099,9100 WESTGATE,3,0.005825242718446602
2775,11600 BLOCK RESEARCH BOULEVARD,3,0.005825242718446602
2145,11000 183,3,0.005825242718446602
14272,4700 BLOCK NORTH IH 35,3,0.005825242718446602
10456,2800 BURLESON RD,3,0.005825242718446602
3463,12000 BLK S. I35,3,0.005825242718446602
4096,12500 N MOPAC EXPWY,3,0.005825242718446602
10827,300 BLOCK WEST ANDERSON LANE,3,0.005825242718446602
4095,12500 N MOPAC BLVD,3,0.005825242718446602
18199,6600 BLOCK EAST BEN WHITE BOULEVARD,3,0.005825242718446602
1292,10300 ANDERSON MILL RD,3,0.005825242718446602
25250,BLOCK S IH 35 NB SVC RD,3,0.005825242718446602
13677,4400 BLOCK E RIVERSIDE DRIVE,3,0.005825242718446602
4050,12500 BLOCK NORTH IH 35,3,0.005825242718446602
22726,900 MONTOPOLIS DR,3,0.005825242718446602
23934,9900 ANDERSON MILL RD,3,0.005825242718446602
4016,12400 RESEARCH BLVD NB,3,0.005825242718446602
2723,11500 RESEARCH,3,0.005825242718446602
23910,9800 RESEARCH,3,0.005825242718446602
22730,900 N IH 35 SB,3,0.005825242718446602
10175,2600 S IH 35 SB,3,0.005825242718446602
15245,5000 NORTH IH 35,3,0.005825242718446602
16344,5600 S IH 35 SVRD SB,3,0.005825242718446602
25245,BLOCK S FM 973 RD,3,0.005825242718446602
2727,11500 RESEARCH BLVD SVRD,3,0.005825242718446602
13995,4500 S IH 35 SVRD SB,3,0.005825242718446602
15947,5400 N I 35,3,0.005825242718446602
3506,12000 BLOCK SOUTH I H 35,3,0.005825242718446602
23913,9800 RESEARCH BLVD SB,3,0.005825242718446602
3509,12000 BLOCK US HIGHWAY 183,3,0.005825242718446602
16346,5600 S MOPAC EXPY,3,0.005825242718446602
16121,5500 N IH35,3,0.005825242718446602
2207,11000 METRIC BLVD,3,0.005825242718446602
23563,9500 IH 35,3,0.005825242718446602
10470,2800 E SH 71 WB,3,0.005825242718446602
3487,12000 BLOCK NORTH IH35,3,0.005825242718446602
1431,10500 BLOCK NORTH IH 35 SERVICE ROAD,3,0.005825242718446602
10168,2600 S 1ST,3,0.005825242718446602
28434,WEST 9TH STREET,3,0.005825242718446602
16501,5700 PALO BLANCO LN,3,0.005825242718446602
23946,9900 BLOCK MANCHACA ROAD,3,0.005825242718446602
14259,4700 BLOCK ED BLUESTEIN BOULEVARD,3,0.005825242718446602
25407,BLOCK US HWY 183 ND SVC,3,0.005825242718446602
2173,11000 BLOCK NORTH IH 35 SERVICE ROAD,3,0.005825242718446602
4062,12500 BLOCK RESEARCH BOULEVARD SERVICE,3,0.005825242718446602
2242,11000 NORTH US HWY 183,3,0.005825242718446602
14258,4700 BLOCK EAST WILLIAM CANNON DRIVE,3,0.005825242718446602
14229,46TH STREET,3,0.005825242718446602
23077,9100 N MOPAC EXPY SB,3,0.005825242718446602
10467,2800 E MLK,3,0.005825242718446602
15274,5000 S IH35,3,0.005825242718446602
23942,9900 BLOCK CURLEW DRIVE,3,0.005825242718446602
2179,11000 BLOCK NORTH MOPAC,3,0.005825242718446602
3495,12000 BLOCK NORTH MOPAC SERVICE ROAD,3,0.005825242718446602
2236,11000 N. LAMAR BLVD,3,0.005825242718446602
25227,BLOCK S 1ST STREET,3,0.005825242718446602
23527,9500 BLOCK NORTH IH 35,3,0.005825242718446602
15742,5300 DUVAL RD,3,0.005825242718446602
23839,9800 BLK MANCHACA RD,3,0.005825242718446602
2810,11600 RESEARCH,3,0.005825242718446602
10908,300 MONTOPLIS,3,0.005825242718446602
14193,4600 S PLEASANT VALLEY RD,3,0.005825242718446602
2319,11100 BLOCK SOUTH IH 35 SERVICE ROAD,3,0.005825242718446602
13696,4400 BLOCK NORTH LAMAR BOULEVARD,3,0.005825242718446602
10907,300 MARTIN LUTHER KING,3,0.005825242718446602
25256,BLOCK S IH35,3,0.005825242718446602
22652,900 BLOCK WEST 5TH STREET,3,0.005825242718446602
10025,2600 ALLANDALE,3,0.005825242718446602
14308,4700 E CESAR CHAVE,3,0.005825242718446602
14307,4700 E CEASAR CHAVEZ,3,0.005825242718446602
18212,6600 BLOCK MANCHACA ROAD,3,0.005825242718446602
10077,2600 BLOCK MARTIN LUTHER KING JR,3,0.005825242718446602
4171,12600 BLOCK US HIGHWAY 183,3,0.005825242718446602
1166,10100 N LAMAR BLVD,3,0.005825242718446602
10076,2600 BLOCK MARTIN LUTHER KING BOULEVARD,3,0.005825242718446602
22779,900 TO 1400 BLOCK WALNUT CREEK PARK ROAD,3,0.005825242718446602
10028,2600 BARTON SPRINGS RD,3,0.005825242718446602
3967,12400 BLOCK NORTH I H 35,3,0.005825242718446602
2086,1100 S IH 35 SVRD NB,3,0.005825242718446602
14591,4900 BLOCK EAST WILLIAM CANNON DRIVE,3,0.005825242718446602
23131,9200 BLOCK NORTH  MOPAC EXPRESSWAY,3,0.005825242718446602
10502,2800 S 1ST ST,3,0.005825242718446602
2813,11600 RESEARCH BLVD SB,3,0.005825242718446602
1487,10500 RESEARCH BLVD,3,0.005825242718446602
2046,1100 N I 35 SVRD,3,0.005825242718446602
10440,2800 BLOCK SOUTH IH 35 SERVICE ROAD,3,0.005825242718446602
13697,4400 BLOCK NORTH MOPAC EXPRESSWAY,3,0.005825242718446602
4199,12600 N US 183 HWY NB,3,0.005825242718446602
2049,1100 N IH 35 NB,3,0.005825242718446602
23133,9200 BLOCK NORTH IH 35 SERVICE ROAD,3,0.005825242718446602
2050,1100 N IH 35 SB,3,0.005825242718446602
25399,BLOCK US 183 HWY SVRD,3,0.005825242718446602
23843,9800 BLOCK ANDERSON MILL ROAD,3,0.005825242718446602
22639,900 BLOCK SOUTH LAMAR BOULEVARD,3,0.005825242718446602
25429,BLOCK W 21ST ST,3,0.005825242718446602
2819,11600 S IH 35 NB SVRD,3,0.005825242718446602
18326,6600 W US 290 HWY,3,0.005825242718446602
22793,900 W BRAKER LANE,3,0.005825242718446602
2060,1100 NEWFIELD LN,3,0.005825242718446602
25946,E 12TH STREET,3,0.005825242718446602
2531,11300 RESEARCH BLVD,3,0.005825242718446602
22792,900 W BRAKER,3,0.005825242718446602
2312,11100 BLOCK NORTH IH 35 SERVICE ROAD,3,0.005825242718446602
16473,5700 JOHNNY MORRIS RD,3,0.005825242718446602
14279,4700 BLOCK RANCH ROAD 2222,3,0.005825242718446602
10823,300 BLOCK WEST 5TH STREET,3,0.005825242718446602
2699,11500 N IH 35,3,0.005825242718446602
3545,12000 N IH 35 SB,3,0.005825242718446602
3976,12400 BLOCK RESEARCH BOULEVARD,3,0.005825242718446602
25966,E 5TH ST,3,0.005825242718446602
23113,9200 ANDERSON MILL,3,0.005825242718446602
4136,12500 SCOFIELD FARMS DR,3,0.005825242718446602
10042,2600 BLOCK BARTON SPRINGS ROAD,3,0.005825242718446602
14724,50 BLOCK EAST AVE,3,0.005825242718446602
1300,10300 BLOCK METRIC BOULEVARD,3,0.005825242718446602
23982,9900 N MOPAC EXPWY,3,0.005825242718446602
14281,4700 BLOCK RED RIVER STREET,3,0.005825242718446602
10073,2600 BLOCK LAKE AUSTIN BOULEVARD,3,0.005825242718446602
13681,4400 BLOCK EAST OLTORF STREET,3,0.005825242718446602
10824,300 BLOCK WEST 6TH STREET,3,0.005825242718446602
23975,9900 N IH 35,3,0.005825242718446602
26139,EAST 40TH STREET,3,0.005825242718446602
13478,4200 MANCHACA RD,3,0.005825242718446602
10825,300 BLOCK WEST 7TH STREET,3,0.005825242718446602
13477,4200 MANCHACA,3,0.005825242718446602
14288,4700 BLOCK SOUTH IH 35,3,0.005825242718446602
14289,4700 BLOCK SOUTH IH 35 SERVICE ROAD,3,0.005825242718446602
10443,2800 BLOCK SOUTH LAMAR BOULEVARD,3,0.005825242718446602
14291,4700 BLOCK SOUTH MOPAC EXPRESSWAY,3,0.005825242718446602
4157,12600 BLOCK NORTH IH 35,3,0.005825242718446602
4156,12600 BLOCK NORTH I H 35 SERVICE ROAD,3,0.005825242718446602
18791,70 BLOCK RAINEY STREET,3,0.005825242718446602
13404,41ST STREET,3,0.005825242718446602
2309,11100 BLOCK NORTH I 35,3,0.005825242718446602
23855,9800 BLOCK NORTH IH 35,3,0.005825242718446602
3428,1200 W PARMER LN,3,0.005825242718446602
3553,12000 N IH 35 SVRD SB,3,0.005825242718446602
14298,4700 BLOCK WEST PARMER LANE,3,0.005825242718446602
14648,4900 FM2222,3,0.005825242718446602
3552,12000 N IH 35 SVRD NB,3,0.005825242718446602
13408,4200 AIRPORT BLVD,3,0.005825242718446602
2794,11600 N IH 35,3,0.005825242718446602
15920,5400 CAMERON RD,3,0.005825242718446602
3434,1200 W STASSNEY LN,3,0.005825242718446602
2101,1100 SPRINGDALE RD,3,0.005825242718446602
3548,12000 N IH 35 SRVC RD,3,0.005825242718446602
23865,9800 BLOCK SOUTH IH 35,3,0.005825242718446602
15922,5400 DUVAL RD,3,0.005825242718446602
13305,4100 BLOCK N IH 35 TURNAROUND,3,0.005825242718446602
10646,2900 N IH 35 SVRD NB,3,0.005825242718446602
14733,50 BLOCK SOUTH IH 35,3,0.005825242718446602
14095,4600 BLOCK SOUTH CONGRESS AVENUE,3,0.005825242718446602
22902,9000 GEORGIAN DR,3,0.005825242718446602
3171,1200 BLOCK EAST 11TH STREET,3,0.005825242718446602
24615,BLOCK E 40TH ST,3,0.005825242718446602
18218,6600 BLOCK NORTH IH 35 SERVICE ROAD,3,0.005825242718446602
22420,8900 PARKFIELD DR,3,0.005825242718446602
23724,9616 N LAMAR BLVD,3,0.005825242718446602
16639,5800 N MOPAC,3,0.005825242718446602
16419,5700 BLOCK NORTH IH 35 SERVICE ROAD,3,0.005825242718446602
14506,4800 PARMER LANE,3,0.005825242718446602
23671,9600 DESSAU RD,3,0.005825242718446602
24610,BLOCK E 32ND ST,3,0.005825242718446602
15801,5300 S IH 35 NB,3,0.005825242718446602
23667,9600 BLOCK SOUTH IH 35,3,0.005825242718446602
13555,4300 BLOCK IH 35 SERVICE ROAD,3,0.005825242718446602
13797,4400 SHOAL CREEK,3,0.005825242718446602
13552,4300 BLOCK ED BLUESTEIN BOULEVARD,3,0.005825242718446602
3782,12200 BLOCK SOUTH IH 35,3,0.005825242718446602
22433,8900 RESEARCH BLVD SVRD NB,3,0.005825242718446602
22413,8900 N. MO-PAC EXPY NB,3,0.005825242718446602
71,10 S CONGRESS AVE SB,3,0.005825242718446602
14572,4900 BLK CESAR CHAVEZ,3,0.005825242718446602
10792,300 BLOCK NORTH IH 35,3,0.005825242718446602
10399,2800 BLOCK EAST SH 71,3,0.005825242718446602
10769,300 BLOCK EAST BEN WHITE BOULEVARD,3,0.005825242718446602
3157,1200 BLOCK DEAN KEATON ROAD,3,0.005825242718446602
23359,9400 ANDERSON MILL RD,3,0.005825242718446602
3690,12100 MOPAC,3,0.005825242718446602
1700,10800 N MOPAC,3,0.005825242718446602
10286,2700 E 7TH ST,3,0.005825242718446602
1373,10400 BURNET RD,3,0.005825242718446602
22400,8900 N MOPAC,3,0.005825242718446602
22907,9000 MANCHACA RD,3,0.005825242718446602
24623,BLOCK E 53RD ST,3,0.005825242718446602
2494,11300 BLOCK NORTH LAMAR BOULEVARD,3,0.005825242718446602
3058,11900 N MOPAC EXPY SVRD,3,0.005825242718446602
24621,BLOCK E 53,3,0.005825242718446602
4557,1300 BLOCK EAST 7TH STREET,3,0.005825242718446602
14512,4800 S 1ST ST NB,3,0.005825242718446602
3167,1200 BLOCK DEATON KEATON,3,0.005825242718446602
16421,5700 BLOCK NORTH MOPAC,3,0.005825242718446602
3178,1200 BLOCK EAST 7TH STREET,3,0.005825242718446602
15759,5300 MANCHACA RD,3,0.005825242718446602
10291,2700 E SH 71 EB,3,0.005825242718446602
23661,9600 BLOCK NORTH MOPAC EXPRESSWAY,3,0.005825242718446602
3672,12100 BLOCK NORTH US HIGHWAY 183,3,0.005825242718446602
2582,11400 BLOCK RESEARCH BOULEVARD,3,0.005825242718446602
24384,BLOCK 8TH,3,0.005825242718446602
1768,10900 LAKELINE MALL DR,3,0.005825242718446602
4494,12900 SOUTH I 35,3,0.005825242718446602
14483,4800 EAST CESAR CHAVEZ STREET,3,0.005825242718446602
10294,2700 E. 12TH ST,3,0.005825242718446602
13785,4400 S CONGRESS,3,0.005825242718446602
22973,9000 RESEARCH BOULEVARD,3,0.005825242718446602
22976,9000 S CONGRESS AVE,3,0.005825242718446602
1338,10300 RESEARCH BLVD,3,0.005825242718446602
1776,10900 N LAMAR BLVD,3,0.005825242718446602
1252,10200 N MOPAC EXPY,3,0.005825242718446602
3811,12200 N MOPAC EXPY NB,3,0.005825242718446602
1777,10900 N MOPAC EXPY,3,0.005825242718446602
2591,11400 FOUR POINTS DR,3,0.005825242718446602
22887,9000 BLOCK SOUTH IH35,3,0.005825242718446602
16619,5800 ED BLUESTEIN BLVD,3,0.005825242718446602
22441,8900 S IH 35,3,0.005825242718446602
23267,9300 BLOCK NORTH IH 35 SERVICE ROAD,3,0.005825242718446602
15758,5300 MANCHACA,3,0.005825242718446602
16256,5600 BLOCK SOUTH CONGRESS AVENUE,3,0.005825242718446602
16401,5700 BLOCK GORHAM GLEN LANE,3,0.005825242718446602
18532,6800 BLOCK EAST US HIGHWAY 290,3,0.005825242718446602
16257,5600 BLOCK SOUTH IH 35,3,0.005825242718446602
1468,10500 N LAMAR,3,0.005825242718446602
10586,2900 BLOCK NORTH LAMAR BOULEVARD,3,0.005825242718446602
14496,4800 N IH 35 NB,3,0.005825242718446602
1379,10400 METRIC,3,0.005825242718446602
14493,4800 MANOR RD,3,0.005825242718446602
13793,4400 S MOPAC EXPY,3,0.005825242718446602
2576,11400 BLOCK NORTH IH 35 SERVICE ROAD,3,0.005825242718446602
2577,11400 BLOCK NORTH MOPAC EXPRESSWAY,3,0.005825242718446602
3039,11900 MOPAC NB,3,0.005825242718446602
2579,11400 BLOCK NORTH US HIGHWAY 183,3,0.005825242718446602
22889,9000 BLOCK SOUTH MOPAC EXPRESSWAY,3,0.005825242718446602
18530,6800 BLOCK EAST HIGHWAY 290,3,0.005825242718446602
26052,E SH71 WB,3,0.005825242718446602
10254,2700 BLOCK NORTH IH 35,3,0.005825242718446602
9959,2500 S LAMAR BLVD,3,0.005825242718446602
16235,5600 BLOCK MANCHACA,3,0.005825242718446602
9928,2500 N MOPAC EXPY NB,3,0.005825242718446602
24997,BLOCK N FM 620 RD,3,0.005825242718446602
3118,1200 BARTON SPRINGS RD,3,0.005825242718446602
14553,4800 W PARMER LN,3,0.005825242718446602
10261,2700 BLOCK ROGGE LANE,3,0.005825242718446602
16066,5500 BLOCK RAIN CREEK PARKWAY,3,0.005825242718446602
1633,10700 RESEARCH,3,0.005825242718446602
13206,4000 S US HWY 183 SB,3,0.005825242718446602
23315,9300 N US 183,3,0.005825242718446602
3759,12200 BLOCK DESSAU ROAD,3,0.005825242718446602
3090,11900-12000 N MOPAC NB,3,0.005825242718446602
22367,8900 BLOCK SOUTH IH 35,3,0.005825242718446602
4618,1300 BLOCK WEST SLAUGHTER LANE,3,0.005825242718446602
18264,6600 ED BLUESTEIN,3,0.005825242718446602
14739,50 N IH 35 SB,3,0.005825242718446602
22924,9000 N IH 35 SB,3,0.005825242718446602
4617,1300 BLOCK WEST RUNDBERG LANE,3,0.005825242718446602
4615,1300 BLOCK WEST OLTORF STREET,3,0.005825242718446602
3117,1200 BARTON SPRINGS,3,0.005825242718446602
3115,1200 AMHERST DR,3,0.005825242718446602
13573,4300 BLOCK SOUTH IH 35,3,0.005825242718446602
1365,10400 BLOCK RESEARCH BOULEVARD,3,0.005825242718446602
15771,5300 N IH 35 SVRD NB,3,0.005825242718446602
18634,6800 WEST GATE BLVD,3,0.005825242718446602
1363,10400 BLOCK NORTH MOPAC EXPRESSWAY,3,0.005825242718446602
22345,8900 BLOCK MANCHACA ROAD,3,0.005825242718446602
1613,10700 LAKECREEK,3,0.005825242718446602
16228,5600 BLOCK EAST WILLIAM CANNON,3,0.005825242718446602
22348,8900 BLOCK NORTH FM 620,3,0.005825242718446602
3725,12100 RESEARCH BLVD SB,3,0.005825242718446602
3726,12100 RESEARCH BLVD SVC RD,3,0.005825242718446602
4642,1300 E RIVERSIDE DRIVE,3,0.005825242718446602
18731,6900 N IH 35 SB,3,0.005825242718446602
10115,2600 BLOCK WHELESS LANE,3,0.005825242718446602
10268,2700 BLOCK SOUTH 1ST STREET,3,0.005825242718446602
18268,6600 ELM CREEK DR,3,0.005825242718446602
23330,9300 RESEARCH BLVD SB,3,0.005825242718446602
24858,BLOCK IH 35 SVRD NB,3,0.005825242718446602
9927,2500 N MOPAC EXPY,3,0.005825242718446602
4613,1300 BLOCK WEST BEN WHITE BOULEVARD,3,0.005825242718446602
18386,6700 BLOCK NORTH IH 35,3,0.005825242718446602
4611,1300 BLOCK WEBBERVILLE ROAD,3,0.005825242718446602
16243,5600 BLOCK NORTH I H 35,3,0.005825242718446602
22916,9000 N CAPITAL OF TX HWY,3,0.005825242718446602
13564,4300 BLOCK S 1ST,3,0.005825242718446602
2505,11300 FM 2222,3,0.005825242718446602
22380,8900 FM 620,3,0.005825242718446602
10280,2700 BURLESON RD,3,0.005825242718446602
1681,10800 BLOCK SOUTH IH 35 SERVICE ROAD,3,0.005825242718446602
14520,4800 S CONGRESS AVE NB,3,0.005825242718446602
10623,2900 E MLK BLVD,3,0.005825242718446602
10771,300 BLOCK EAST CESAR CHAVEZ STREET,3,0.005825242718446602
23677,9600 INDINA HILLS,3,0.005825242718446602
1689,10800 FM 2222 RD,3,0.005825242718446602
25006,BLOCK N IH 35 NB,3,0.005825242718446602
13220,4000 SOUTH MOPAC,3,0.005825242718446602
14514,4800 S 1ST ST SB,3,0.005825242718446602
10942,300 W 15TH ST,3,0.005825242718446602
22393,8900 N IH 35,3,0.005825242718446602
1244,10200 N IH 35 SB,3,0.005825242718446602
10596,2900 BLOCK SOUTH 1ST STREET,3,0.005825242718446602
10597,2900 BLOCK SOUTH CAPITAL OF TEXAS,3,0.005825242718446602
3710,12100 N MOPAC EXPY SVRD SB,3,0.005825242718446602
1231,10200 BLOCK SOUTH IH 35,3,0.005825242718446602
1463,10500 N IH 35,3,0.005825242718446602
16215,5600 BLOCK ALOMAR COVE,3,0.005825242718446602
2512,11300 METRIC BLVD,3,0.005825242718446602
18397,6700 BLOCK SOUTH IH 35,3,0.005825242718446602
16214,5600 BLOCK AIRPORT BOULEVARD,3,0.005825242718446602
23304,9300 N IH 35,3,0.005825242718446602
13813,4410 E RIVERSIDE DR,3,0.005825242718446602
9931,2500 N MOPAC SB,3,0.005825242718446602
23302,9300 N CAPITAL OF TX HWY,3,0.005825242718446602
14818,500 BLOCK EAST CESAR CHAVEZ STREET,3,0.005825242718446602
14536,4800 S. 1ST STREET,3,0.005825242718446602
23681,9600 MANCHACA RD,3,0.005825242718446602
14066,4600 BLOCK ED BLUESTEIN BOULEVARD,3,0.005825242718446602
10256,2700 BLOCK NORTH LAMAR BOULEVARD,3,0.005825242718446602
15790,5300 NUCKOLS CROSSING RD,3,0.005825242718446602
4602,1300 BLOCK SOUTH MOPAC EXPRESSWAY,3,0.005825242718446602
23299,9300 MANCHACA RD.,3,0.005825242718446602
24375,BLOCK 7TH STREET,3,0.005825242718446602
22965,9000 RESEARCH BLVD NB TO SB SVC RD,3,0.005825242718446602
14240,4700 BLK S IH 35 SB SVRD,3,0.005825242718446602
2999,11900 BLOCK JOLLYVILLE ROAD,3,0.005825242718446602
23404,9400 DESSAU RD,3,0.005825242718446602
4453,12900 N MOPAC EXPY,3,0.005825242718446602
16431,5700 BLOCK SOUTH IH 35,3,0.005825242718446602
23762,9700 BLOCK NORTH MOPAC EXPRESSWAY,3,0.005825242718446602
16426,5700 BLOCK PALO BLANCO LANE,3,0.005825242718446602
18376,6700 BLOCK JOHNNY MORRIS ROAD,3,0.005825242718446602
2601,11400 N IH 35 NB,3,0.005825242718446602
3237,1200 BLOCK RUTLAND DRIVE,3,0.005825242718446602
43,10 BLOCK COMAL STREET,3,0.005825242718446602
3225,1200 BLOCK NORTH IH 35 SERVICE ROAD,3,0.005825242718446602
16394,5700 BLOCK EAST RIVERSIDE DRIVE,3,0.005825242718446602
2996,11900 BLOCK BURNET RD,3,0.005825242718446602
16275,5600 E BEN WHITE BLVD EB,3,0.005825242718446602
3267,1200 BLOCK WEST 38TH STREET,3,0.005825242718446602
1846,1100 BLOCK  AIRPORT BOULEVARD,3,0.005825242718446602
23774,9700 BURNET ROAD,3,0.005825242718446602
13764,4400 N IH35,3,0.005825242718446602
22994,9000 W PARMER LN,3,0.005825242718446602
16186,5500BL AIRPORT BLVD,3,0.005825242718446602
10568,2900 BLOCK EAST MARTIN LUTHER KING,3,0.005825242718446602
2953,11800 N IH 35 SB,3,0.005825242718446602
18600,6800 N LAMAR BLVD,3,0.005825242718446602
3652,12100 AMHERST DR,3,0.005825242718446602
16432,5700 BLOCK SOUTH IH 35 SERVICE ROAD,3,0.005825242718446602
1568,10600 RESEARCH BLVD NB,3,0.005825242718446602
23641,9600 ANDERSON MILL,3,0.005825242718446602
22499,90 BLOCK RED RIVER STREET,3,0.005825242718446602
1821,1100 AIRPORT RD,3,0.005825242718446602
1820,1100 AIRPORT BOULEVARD,3,0.005825242718446602
13769,4400 N MOPAC EXPY,3,0.005825242718446602
2441,11200 S IH35 EF,3,0.005825242718446602
1216,10200 BLOCK GOLDEN MEADOW DRIVE,3,0.005825242718446602
16592,5800 BLOCK SOUTH IH 35 SERVICE ROAD,3,0.005825242718446602
16591,5800 BLOCK SOUTH IH 35,3,0.005825242718446602
18224,6600 BLOCK S IH 35 SVRD NB,3,0.005825242718446602
22983,9000 S IH35,3,0.005825242718446602
9967,2500 S US 183 HWY SB,3,0.005825242718446602
13297,4100 BLOCK IH 35 SERVICE ROAD,3,0.005825242718446602
23646,9600 BLOCK ANDERSON MILL ROAD,3,0.005825242718446602
22868,9000 BLOCK NORTH US HIGHWAY 183,3,0.005825242718446602
10414,2800 BLOCK MONTOPOLIS DRIVE,3,0.005825242718446602
24351,BLOCK 5TH STREET FRNT,3,0.005825242718446602
22853,9000 BLOCK NORTH  MOPAC EXPRESSWAY,3,0.005825242718446602
3229,1200 BLOCK NORTH MOPAC EXPRESSWAY,3,0.005825242718446602
13891,4500 BLOCK SOUTH 1ST STREET,3,0.005825242718446602
14459,4800 BLOCK SPICEWOOD SPRINGS ROAD,3,0.005825242718446602
15821,5300 SOUTHWEST PKWY,3,0.005825242718446602
2416,11200 N MOPAC,3,0.005825242718446602
10805,300 BLOCK SOUTH 1ST STREET,3,0.005825242718446602
23246,9300 BLK ANDERSON MILL,3,0.005825242718446602
16379,5700 AIRPORT BLVD,3,0.005825242718446602
13760,4400 N IH 35 SB,3,0.005825242718446602
15815,5300 S. IH-35 SB,3,0.005825242718446602
13603,4300 MOUNT BONNELL RD,3,0.005825242718446602
4390,12800 S IH 35 SB,3,0.005825242718446602
13894,4500 BLOCK SOUTH IH 35 SERVICE ROAD,3,0.005825242718446602
18658,6900 BLOCK BURNET ROAD,3,0.005825242718446602
1384,10400 N LAMAR BLVD,3,0.005825242718446602
10237,2700 BLOCK EAST SH 71,3,0.005825242718446602
2975,11800 S IH 35 NB,3,0.005825242718446602
3251,1200 BLOCK SOUTH LAMAR BOULEVARD,3,0.005825242718446602
13290,4100 BLOCK DUVAL ROAD,3,0.005825242718446602
1864,1100 BLOCK DITTMAR ROAD,3,0.005825242718446602
1788,10900 RESEARCH BLVD SB,3,0.005825242718446602
23385,9400 BLOCK NORTH MOPAC EXPRESSWAY,3,0.005825242718446602
23426,9400 N IH 35 SB,3,0.005825242718446602
1481,10500 N US 183,3,0.005825242718446602
1787,10900 RESEARCH BLVD NB,3,0.005825242718446602
1450,10500 FOUR IRON,3,0.005825242718446602
23413,9400 LISI ANNE,3,0.005825242718446602
3281,1200 BLOCK WEST WILLIAM CANNON DRIVE,3,0.005825242718446602
1840,1100 BLK PAYTON GIN,3,0.005825242718446602
14144,4600 MANCHACA,3,0.005825242718446602
2944,11800 DESSAU RD,3,0.005825242718446602
3839,12200 S IH 35,3,0.005825242718446602
13616,4300 N MOPAC EXPY,3,0.005825242718446602
9962,2500 S MOPAC EXPY SB,3,0.005825242718446602
3654,12100 BLOCK AMHERST DRIVE,3,0.005825242718446602
14472,4800 DUVAL RD,3,0.005825242718446602
3274,1200 BLOCK WEST BEN WHITE BOULEVARD,3,0.005825242718446602
22856,9000 BLOCK NORTH FM 620,3,0.005825242718446602
2614,11400 RESEARCH BLVD,3,0.005825242718446602
23214,9200 S IH 35 SB,3,0.005825242718446602
1119,10100 BLOCK METRIC BOULEVARD,3,0.005825242718446602
22513,90 N IH 35 NB,3,0.005825242718446602
10411,2800 BLOCK MANCHACA ROAD,3,0.005825242718446602
18419,6700 E RIVERSIDE DR,3,0.005825242718446602
4393,12800 US 183 HWY NB,3,0.005825242718446602
18424,6700 ED BLUESTEIN BLVD,3,0.005825242718446602
18374,6700 BLOCK ED BLUESTEIN BOULEVARD,3,0.005825242718446602
15079,500 W STASSNEY,2,0.003883495145631068
1453,10500 LAKE CREEK PKWY,2,0.003883495145631068
492,100 W 5TH ST,2,0.003883495145631068
25403,BLOCK US 183 SVRD NB,2,0.003883495145631068
20583,7800 N IH35,2,0.003883495145631068
20438,7700 N MOPAC EXPY NB,2,0.003883495145631068
15080,500 W WILLAM CANNON,2,0.003883495145631068
20494,7800 BLOCK EAST STATE HIGHWAY 71,2,0.003883495145631068
7589,1800 MONTOPOLIS,2,0.003883495145631068
7544,1800 CROSSING PL,2,0.003883495145631068
12010,3500 S MOPAC SB,2,0.003883495145631068
