,ADDRESS,STOPS,WEIGHT
311,100 BLOCK WEST STASSNEY LANE,72,0.13980582524271845
348,100 E BRAKER LANE,72,0.13980582524271845
7454,1800 BLOCK EAST RIVERSIDE DRIVE,72,0.13980582524271845
20719,7900 N MOPAC EXPY,72,0.13980582524271845
11168,3000 S US HWY 183,71,0.1378640776699029
22866,9000 BLOCK NORTH MOPAC EXPRESSWAY,71,0.1378640776699029
17660,6200 N CAPITAL OF TEXAS HWY,70,0.13592233009708737
19949,7400 E HWY 290,70,0.13592233009708737
22581,900 BLOCK EAST DEAN KEETON,70,0.13592233009708737
22805,900 W PARMER LN,70,0.13592233009708737
12091,3600 BLOCK PRESIDENTIAL BOULEVARD,70,0.13592233009708737
4423,12900 BLOCK NORTH US HIGHWAY 183,69,0.13398058252427184
15002,500 MONTOPOLIS DR,69,0.13398058252427184
22691,900 E OLTORF ST,69,0.13398058252427184
21685,8300 S 1ST,68,0.13203883495145632
21219,8000 MANCHACA,68,0.13203883495145632
13512,4200 S US 183 HWY NB,68,0.13203883495145632
5653,13700 S IH 35,68,0.13203883495145632
11695,3400 BLOCK ED BLUESTEIN BOULEVARD,66,0.12815533980582525
18314,6600 S MOPAC,66,0.12815533980582525
18888,700 BLOCK EAST DEAN KEETON STREET,66,0.12815533980582525
15705,5300 BLOCK NORTH IH 35,65,0.1262135922330097
5809,13900 AVERY RANCH BLVD,65,0.1262135922330097
18027,6500 BLOCK EAST BEN WHITE BOULEVARD,65,0.1262135922330097
448,100 S 1ST,64,0.12427184466019417
20488,7800 BLK WEST GATE BLVD,64,0.12427184466019417
23075,9100 N MOPAC EXPY,63,0.12233009708737864
5731,13800 N US 183,63,0.12233009708737864
19796,7300 E US HWY 290 EB,63,0.12233009708737864
15377,5100 BLOCK NORTH IH 35,63,0.12233009708737864
18882,700 BLOCK EAST DEAN KEATON,62,0.1203883495145631
10127,2600 E MLK BLVD,62,0.1203883495145631
14125,4600 E CESAR CHAVEZ,62,0.1203883495145631
21654,8300 N IH 35,62,0.1203883495145631
3507,12000 BLOCK SOUTH IH 35,62,0.1203883495145631
6214,14000 S IH 35,62,0.1203883495145631
4128,12500 S IH 35,62,0.1203883495145631
3566,12000 N MOPAC EXPY,61,0.11844660194174757
27907,SOUTH 1ST STREET,60,0.11650485436893204
9091,2200 ENFIELD RD,60,0.11650485436893204
14674,4900 S CONGRESS,60,0.11650485436893204
19402,7100 BLOCK HIGHWAY 290 EAST,60,0.11650485436893204
27064,N IH 35 SVRD,60,0.11650485436893204
26170,EAST 7TH STREET,60,0.11650485436893204
790,1000 EAST DEAN KEETON,59,0.1145631067961165
18819,700 BL EAST DEAN KEETON STREET,59,0.1145631067961165
15151,5000 BLOCK NORTH IH 35,59,0.1145631067961165
15526,5200 BLOCK EAST RIVERSIDE DRIVE,59,0.1145631067961165
5723,13800 N IH 35 SVRD SB,58,0.11262135922330097
16640,5800 N MOPAC EXPY,57,0.11067961165048544
13325,4100 BLOCK SOUTH US HIGHWAY 183,57,0.11067961165048544
13940,4500 MANCHACA,57,0.11067961165048544
19393,7100 BLOCK EAST US HIGHWAY 290 SERVICE,56,0.1087378640776699
16262,5600 BLOCK SOUTH MOPAC EXPRESSWAY,56,0.1087378640776699
12234,3700 BLOCK MANCHACA ROAD,56,0.1087378640776699
21242,8000 N LAMAR BLVD,56,0.1087378640776699
20653,7900 BLOCK NORTH LAMAR BOULEVARD,56,0.1087378640776699
13942,4500 MANCHACA RD,56,0.1087378640776699
3551,12000 N IH 35 SVRD,55,0.10679611650485436
3562,12000 N MOPAC,54,0.10485436893203884
25015,BLOCK N IH 35 SVRD,54,0.10485436893203884
14670,4900 S 1ST ST,54,0.10485436893203884
5645,13700 RESEARCH BLVD NB,54,0.10485436893203884
20712,7900 N LAMAR BLVD,53,0.1029126213592233
21160,8000 BLOCK MANCHACA ROAD,53,0.1029126213592233
23384,9400 BLOCK NORTH LAMAR BOULEVARD,52,0.10097087378640776
27225,NORTH IH 35,52,0.10097087378640776
23181,9200 N MOPAC EXPY,52,0.10097087378640776
27692,S 1ST ST,52,0.10097087378640776
13034,4000 AIRPORT BLVD,52,0.10097087378640776
10126,2600 E MLK,51,0.09902912621359224
3667,12100 BLOCK NORTH IH 35,51,0.09902912621359224
20101,7500 E HWY 290,51,0.09902912621359224
11269,3100 BLOCK SOUTH US HIGHWAY 183,51,0.09902912621359224
21787,8400 S 1ST ST,51,0.09902912621359224
23137,9200 BLOCK NORTH MOPAC EXPRESSWAY,51,0.09902912621359224
6962,1600 ENFIELD,51,0.09902912621359224
11136,3000 S 1ST ST,51,0.09902912621359224
21231,8000 N IH 35,50,0.0970873786407767
15723,5300 BLOCK SOUTH IH 35 SERVICE ROAD,50,0.0970873786407767
22425,8900 RESEARCH BLVD,50,0.0970873786407767
9274,2300 BLOCK ENFIELD ROAD,49,0.09514563106796116
15226,5000 N IH 35,49,0.09514563106796116
16222,5600 BLOCK EAST BEN WHITE BOULEVARD,49,0.09514563106796116
22584,900 BLOCK EAST DEAN KEETON STREET,49,0.09514563106796116
12227,3700 BLOCK FM 2222,48,0.09320388349514563
511,100 W BRAKER,48,0.09320388349514563
12445,3800 FM2222,48,0.09320388349514563
3007,11900 BLOCK NORTH IH 35,48,0.09320388349514563
5439,13600 BLOCK NORTH IH 35 SERVICE ROAD,48,0.09320388349514563
13623,4300 S 1ST ST,47,0.0912621359223301
15800,5300 S IH 35,47,0.0912621359223301
19685,7200 S 1ST,47,0.0912621359223301
15260,5000 S CONGRESS,47,0.0912621359223301
19364,7100 BLOCK 290 EAST,47,0.0912621359223301
5785,13800-13200 N IH 35 SVRD SB,46,0.08932038834951456
8228,200 E BRAKER LN,46,0.08932038834951456
15603,5200 N IH 35,46,0.08932038834951456
5189,13300 RESEARCH BLVD,46,0.08932038834951456
19643,7200 LOYOLA,45,0.08737864077669903
10665,2900 S IH 35 NB,45,0.08737864077669903
12443,3800 FM 2222,45,0.08737864077669903
11415,3200 BLOCK SOUTH US HIGHWAY 183,45,0.08737864077669903
4805,13000 N IH 35,45,0.08737864077669903
17511,6100 N CAPITAL OF TEXAS HWY NB,44,0.0854368932038835
22082,8700 ANDERSON MILL RD,44,0.0854368932038835
15450,5100 S 1ST ST,44,0.0854368932038835
15803,5300 S IH 35 SB,44,0.0854368932038835
5489,13600 N IH 35 SVRD SB,43,0.08349514563106795
21557,8200 S 1ST,43,0.08349514563106795
25224,BLOCK S 1ST ST,43,0.08349514563106795
20696,7900 MANCHACA RD,43,0.08349514563106795
7782,1900 BLOCK ED BLUESTEIN BOULEVARD,42,0.08155339805825243
19382,7100 BLOCK EAST HIGHWAY 290,42,0.08155339805825243
28166,US HIGHWAY 183,42,0.08155339805825243
27223,NORTH I-35 SVRD,42,0.08155339805825243
14033,45TH STREET,42,0.08155339805825243
5538,13600 S IH 35,42,0.08155339805825243
6283,14200 N IH 35,41,0.07961165048543689
17286,6000 BLOCK NORTH MOPAC EXPRESSWAY,41,0.07961165048543689
26163,EAST 6TH STREET,41,0.07961165048543689
22579,900 BLOCK EAST DEAN KEATON STREET,41,0.07961165048543689
19686,7200 S 1ST ST,41,0.07961165048543689
20113,7500 E US HWY 290 WB,40,0.07766990291262135
6350,14500 N IH 35,40,0.07766990291262135
19641,7200 FM 2222 ROAD,40,0.07766990291262135
12669,3900 SPICEWOOD SPRINGS RD,40,0.07766990291262135
14527,4800 S IH 35 SVRD SB,40,0.07766990291262135
14555,4800 WEST PARMER LANE,39,0.07572815533980583
5504,13600 N US 183 HWY,39,0.07572815533980583
22324,8900 BLK RESEARCH BLVD,39,0.07572815533980583
4215,12600 S IH 35,39,0.07572815533980583
2143,1100 WINSTED LN,39,0.07572815533980583
12553,3900 AIRPORT BLVD,39,0.07572815533980583
25254,BLOCK S IH 35 SVRD NB,39,0.07572815533980583
4825,13000 N US 183,38,0.07378640776699029
7084,16100 AVERY RANCH BLVD,38,0.07378640776699029
21178,8000 BLOCK NORTH LAMAR BOULEVARD,38,0.07378640776699029
8811,2100 ENFIELD,38,0.07378640776699029
4866,13000 S IH 35 NB,38,0.07378640776699029
27241,NORTH IH 35 SERVICE ROAD AND,38,0.07378640776699029
13957,4500 N IH 35 NB,38,0.07378640776699029
13625,4300 S 1ST STREET,38,0.07378640776699029
3620,12000 SOUTH I-35,38,0.07378640776699029
22578,900 BLOCK EAST DEAN KEATON,37,0.07184466019417475
15833,5300 WEST GATE BLVD,37,0.07184466019417475
4768,13000 BLOCK NORTH US HIGHWAY 183,37,0.07184466019417475
2817,11600 S IH 35,37,0.07184466019417475
21543,8200 N MOPAC EXPY,37,0.07184466019417475
3012,11900 BLOCK NORTH MOPAC EXPRESSWAY,37,0.07184466019417475
20584,7800 N LAMAR,36,0.06990291262135923
25000,BLOCK N I 35 SVRD,36,0.06990291262135923
19434,7100 BLOCK US HIGHWAY 290,36,0.06990291262135923
6595,1500 ED BLUESTEIN,36,0.06990291262135923
27040,N I 35 SVRD,36,0.06990291262135923
1454,10500 METRIC,36,0.06990291262135923
532,100 W STASSNEY,36,0.06990291262135923
11899,3500 BLOCK NORTH MOPAC EXPRESSWAY,36,0.06990291262135923
26637,IH 35,36,0.06990291262135923
4737,13000 AVERY RANCH,35,0.06796116504854369
2141,1100 WINSTEAD,35,0.06796116504854369
22105,8700 BLOCK NORTH MOPAC EXPRESSWAY,35,0.06796116504854369
16422,5700 BLOCK NORTH MOPAC EXPRESSWAY,35,0.06796116504854369
22118,8700 BRODIE LN,35,0.06796116504854369
3289,1200 DEAN K,35,0.06796116504854369
15911,5400 BLOCK WEST GATE BOULEVARD,34,0.06601941747572816
3271,1200 BLOCK WEST ANDERSON LANE,34,0.06601941747572816
7610,1800 RIVERSIDE,34,0.06601941747572816
15277,5000 S MOPAC,34,0.06601941747572816
22244,8800 BURNET RD,34,0.06601941747572816
28430,WEST 6TH STREET,34,0.06601941747572816
22270,8800 N MOPAC,34,0.06601941747572816
19376,7100 BLOCK EAST 290 SERVICE ROAD,34,0.06601941747572816
19385,7100 BLOCK EAST HIGHWAY 290 SERVICE ROAD,34,0.06601941747572816
22374,8900 BURNET RD,34,0.06601941747572816
4130,12500 S IH 35 NB,34,0.06601941747572816
5099,13200 SOUTH I-35,34,0.06601941747572816
27217,NORTH I H 35 SERVICE ROAD,33,0.06407766990291262
12251,3700 BLOCK RANCH ROAD 2222,33,0.06407766990291262
6854,1600 BLOCK ENFIELD ROAD,33,0.06407766990291262
21686,8300 S 1ST ST,33,0.06407766990291262
3543,12000 N IH 35,33,0.06407766990291262
26747,LAKE AUSTIN ZONE 5,33,0.06407766990291262
27066,N IH 35 SVRD NB,33,0.06407766990291262
6215,14000 S IH 35 NB,33,0.06407766990291262
3810,12200 N MOPAC EXPY,33,0.06407766990291262
25255,BLOCK S IH 35 SVRD SB,33,0.06407766990291262
18780,6TH STREET,33,0.06407766990291262
11475,3200 S US 183 HWY SB,33,0.06407766990291262
13967,4500 N MOPAC,32,0.062135922330097085
14611,4900 BLOCK SOUTH 1ST STREET,32,0.062135922330097085
9887,2500 E RIVERSIDE DR,32,0.062135922330097085
5586,13700 BLOCK NORTH US HIGHWAY 183,32,0.062135922330097085
26173,EAST 8TH STREET,32,0.062135922330097085
3549,12000 N IH 35 SVC,32,0.062135922330097085
120,100 BLK W. BRAKER LN,32,0.062135922330097085
16244,5600 BLOCK NORTH IH 35,32,0.062135922330097085
13570,4300 BLOCK SOUTH 1ST STREET,31,0.06019417475728155
2730,11500 S IH 35,31,0.06019417475728155
4865,13000 S IH 35,31,0.06019417475728155
26737,LAKE AUSTIN ZONE 1,31,0.06019417475728155
22961,9000 RESEARCH BLVD,31,0.06019417475728155
569,1000 B E DEAN KEETON STREET,31,0.06019417475728155
3484,12000 BLOCK NORTH IH 35 SERVICE ROAD,31,0.06019417475728155
20155,7500 N MOPAC EXPY,31,0.06019417475728155
6162,14000 BLOCK NORTH US HIGHWAY 183,31,0.06019417475728155
21240,8000 N LAMAR,31,0.06019417475728155
8389,2000 BLOCK ED BLUESTEIN BOULEVARD,30,0.05825242718446602
13757,4400 N IH 35,30,0.05825242718446602
20434,7700 N MOPAC,30,0.05825242718446602
21419,8100 S 1ST ST,30,0.05825242718446602
16289,5600 E WILLIAM CANNON,30,0.05825242718446602
13097,4000 BLOCK SOUTH HIGHWAY 183,30,0.05825242718446602
14526,4800 S IH 35 SVRD,30,0.05825242718446602
3411,1200 W 6TH,30,0.05825242718446602
19439,7100 BLOCK US HIGHWAY 290 SERVICE ROAD,30,0.05825242718446602
12391,3800 BLOCK NORTH MOPAC EXPRESSWAY,30,0.05825242718446602
6023,1400 ED BLUESTEIN,30,0.05825242718446602
4068,12500 BLOCK SOUTH IH 35,30,0.05825242718446602
27068,N IH 35 SVRD SB,30,0.05825242718446602
8990,2200 BLOCK ENFIELD ROAD,30,0.05825242718446602
2666,11500 BLOCK NORTH MOPAC EXPRESSWAY,30,0.05825242718446602
14840,500 BLOCK MONTOPOLIS DRIVE,30,0.05825242718446602
11222,30TH STREET,30,0.05825242718446602
18633,6800 W WILLIAM CANNON DR,29,0.05631067961165048
27737,S IH 35 SVRD NB,29,0.05631067961165048
26157,EAST 5TH STREET,29,0.05631067961165048
22198,8800 BLOCK ANDERSON MILL ROAD,29,0.05631067961165048
18874,700 BLOCK EAST 7TH STREET,29,0.05631067961165048
7686,1800 WILLOW CREEK,29,0.05631067961165048
11100,3000 LAKE AUSTIN BLVD,29,0.05631067961165048
20770,7TH STREET,29,0.05631067961165048
11064,3000 BLOCK SOUTH US HIGHWAY 183,29,0.05631067961165048
4780,13000 BLOCK SOUTH IH 35,29,0.05631067961165048
26648,IH 35 SERVICE ROAD,29,0.05631067961165048
20102,7500 E HWY 290 SVC,29,0.05631067961165048
15836,5300 WESTGATE BLVD,29,0.05631067961165048
5394,13500 S IH 35 NB,29,0.05631067961165048
16124,5500 N MOPAC,29,0.05631067961165048
19394,7100 BLOCK EAST US HIGHWAY 290 SERVICE R,29,0.05631067961165048
14255,4700 BLOCK EAST CESAR CHAVEZ STREET,29,0.05631067961165048
21530,8200 N IH 35,29,0.05631067961165048
19284,7000 N MOPAC,28,0.05436893203883495
8679,2100 BARTON SPRINGS RD,28,0.05436893203883495
18111,6500 N CAPITAL OF TEXAS HWY,28,0.05436893203883495
347,100 E BRAKER,28,0.05436893203883495
